計画,けいかく,kế hoạch,KẾ HỌA,12
画家,がか,họa sĩ,HỌA GIA,12
絵画,かいが,bức tranh,HỘI HỌA,12
画数,かくすう,số nét,"HỌA SỔ,SỐ",12
画素,がそ,điểm ảnh,HỌA TỐ,12
羊,ひつじ,con cừu,DƯƠNG,12
小羊,こひつじ,cừu,TIỂU DƯƠNG,12
羊毛,ようもう,len,DƯƠNG MAO,12
山羊,やぎ,con dê,"SAN,SƠN DƯƠNG",12
音楽,おんがく,âm nhạc,"ÂM NHẠC,LẠC",12
楽しい,たのしい,vui vẻ,"NHẠC,LẠC",12
楽しみ,たのしみ,vui,"NHẠC,LẠC",12
楽しむ,たのしむ,thưởng thức,"NHẠC,LẠC",12
楽な,らくな,không mệt nhọc,"NHẠC,LẠC",12
学期,がっき,học kỳ,HỌC KÌ,12
娯楽,ごらく,giải trí,"NGU NHẠC,LẠC",12
自分,じぶん,bản thân,TỰ ,12
自転車,じてんしゃ,xe đạp,TỰ CHUYỂN XA,12
自動車,じどうしゃ,xe hơi,TỰ ĐỘNG XA,12
自由,じゆう,sự tự do,TỰ DO,12
自ら,おのずから,cá nhân,TỰ,12
自然,しぜん,bản chất,TỰ NHIÊN,12
自習,じしゅう,tự học,TỰ TẬP,12
自信,じしん,lòng tin,TỰ TÍN,12
乗る,のる,đi chơi,THỪA,12
乗り物,のりもの,xe cộ,THỪA VẬT,12
乗り換える,のりかえる,công tắc,THỪA HOÁN,12
乗車,じょうしゃ,đi chơi,THỪA XA,12
乗客,じょうかく,hành khách,THỪA KHÁCH,12
乗せる,のせる,nơi,THỪA,12
乗馬,じょうば,cưỡi ngựa,THỪA MÃ,12
乗車券,じょうしゃけん,vé,THỪA XA KHOÁN,12
写真,しゃしん,ảnh,TẢ CHÂN,12
真中,まなか,ở giữa,CHÂN TRUNG,12
真っ黒,まっくろ,màu đen,CHÂN HẮC,12
真っ白,まっしろ,màu trắng tinh khiết,CHÂN BẠCH,12
真夜中,まよなか,nữa đêm,CHÂN DẠ TRUNG,12
真剣,しんけん,mức,CHÂN KIẾM,12
真実,さな,sự thật,CHÂN THỰC,12
映画,えいが,phim,ÁNH HỌA,12
映画館,えいがかん,rạp chiếu phim,ÁNH HỌA QUÁN,12
映る,うつる,phản ánh,ÁNH,12
写す,うつす,bản sao,TẢ,12
反映する,はんえいする,suy nghĩ,PHẢN ÁNH,12
放映する,ほうえいする,ti vi,PHÓNG ÁNH,12
生える,はえる,lớn lên,"SANH,SINH",12
上映する,じょうえいする,chiếu,THƯỢNG ÁNH,12
洋服,ようふく,quần áo,DƯƠNG PHỤC,12
西洋,せいよう,phía tây,TÂY DƯƠNG,12
東洋,とうよう,phương đông,ĐÔNG DƯƠNG,12
太平洋,たいへいよう,thái bình dương,THÁI BÌNH DƯƠNG,12
大西洋,たいせいよう,đại tây dương,ĐẠI TÂY DƯƠNG,12
洋式,ようしき,phong cách phương tây,DƯƠNG THỨC,12
洋食,ようしょく,tây,DƯƠNG THỰC,12
洋書,ようしょ,sách nước ngoài,DƯƠNG THƯ,12
服,ふく,quần áo,PHỤC,12
洋服,ようふく,quần áo,DƯƠNG PHỤC,12
和服,わふく,quần áo nhật bản,HÒA PHỤC,12
服装,ふくそう,quần áo,PHỤC TRANG,12
克服する,こくふくする,vượt qua,KHẮC PHỤC,12
制服,せいふく,đồng dạng,CHẾ PHỤC,12
喪服,もふく,tang chế,TANG PHỤC,12
征服,せいふく,sự chinh phục,CHINH PHỤC,12
着る,きる,dùng,TRỨ,12
上着,うわぎ,áo khoác,THƯỢNG TRỨ,12
下着,したぎ,đồ lót,HẠ TRỨ,12
着く,つく,đến,TRỨ,12
着物,きもの,kimono,TRỨ VẬT,12
到着,とうちゃく,đến nơi,ĐÁO TRỨ,12
落ち着く,おちつく,ổn định,LẠC TRỨ,12
水着,みずぎ,đồ bơi,THỦY TRỨ,12
