"本(bản) - moto, hon","もと, ホン",本,"sách,cơ bản",bản,"Đây là gốc của 1 cái cây..Hãy đánh đấu nó với ""ー""",2
"人(nhân) - hito, jin, nin","ひと, ジン, ニン",人,người,nhân,Một người đang đứng với hai chân,2
"今(kim) - ima, kon, kin","いま, コン, キン",今,bây giờ,kim,Bạn đang làm gì bây giờ?,2
"寺(tự) - tera, ji","てら, ジ",寺,đền,tự,"Nhìn kia,có một ngôi đền trên mặt đất",2
"時(thời) - toki, ji","とき, ジ",時,thời gian,thời,"Trong ngày,mọi người thường đánh chuông ở trong một cái đền để thông báo thời gian",2
"半(bán) - naka_ba, han","なか_ば, ハン",半,nửa,bán,"Hãy cắt 3 đoạn thẳng làm hai nửa,tuy nhiên chỉ đoạn thẳng đầu tiên bị đứt ",2
"刀(đao) - katana, too","かたな, トオ",刀,"kiếm,dao",đao,Đây là thể hiện của một thanh kiếm,2
"分(phân) - wa_keru, bun, fun, bu","わ_ける, ブン, フン, ブ",分,"phút,chia",phân,Hãy chia ra.Nó sẽ thành nửa với một con dao,2
"上(thượng) - a_geru, ue, kami, no_bosu, joo, shoo","あ_げる, うえ, かみ, の_ぼす, ジョオ, ショオ",上,trên,thượng,Đây là bên trên của một dòng,3
"下(hạ) - shita, shimo, moto, kuda_ru, sage_ru, oro_su, ka, ge","した, しも, もと, くだ_る, さげ_る, おろ_す, カ, ゲ",下,dưới,hạ,Đây là bên dưới của một dòng,3
"中(trung) - naka, chuu","なか, チュウ",中,"giữa,trung tâm",trung,Đây là giữa của một vòng tròn,3
"外(ngoại) - hazu_su, gai, ge","はず_す, ガイ, ゲ",外,ngoài,ngoại,Bạn nên hút thuốc(トバコ) bên ngoài,3
"右(hữu) - migi, u, yuu","みぎ, ウ, ユウ",右,phải,hữu,Tôi ăn với tay phải của tôi,3
"工(công) - , koo, ku",", コオ, ク",工,thủ công,công,Đây là hình dạng của cái thước của người thợ thủ công,3
"左(tả) - hidari, sa","ひだり, サ",左,trái,tả,Tôi đo thước với tay trái của tôi,3
"前(tiền) - mae, zen","まえ, ゼン",前,trước,tiền,Tôi chuẩn bị cho bữa tối trước khi mặt trăng lên,3
"後(hậu) - nochi, ushi_ro, ato, oku_reru, go, koo","のち, うし_ろ, あと, おく_れる, ゴ, コオ",後,sau,hậu,Một người đang đi  trở lại  trên đường phố.,3
"午(ngọ) - , go",", ゴ",午,trưa,ngọ,Chữ Kanji này có mười (十) và hai (二). Mười hai (十二) giờ là  trưa  b&gt;.,3
"門(môn) - kado, mon","かど, モン",門,cổng,môn,Đây là thể hiện của cái cổng,3
"間(gian) - aida, ma, kan, ken","あいだ, ま, カン, ケン",間,giữa,gian,Chúng ta có thể thấy mặt trời(日) giữa cái cổng(門).,3
"東(đông) - higashi, too","ひがし, トオ",東,đông,đông,Mặt trời (日) mọc phía đông.Có thể nhìn thấy mặt trời(日) dưới một cái cây(木).,3
"西(tây) - nishi, sei, sai","にし, セイ, サイ",西,tây,tây,Một(一) trong bốn(四) góc thì là phía tây,3
"南(nam) - minami, nan, na","みなみ, ナン, ナ",南,nam,nam,Hai cái cây trồng trong vườn hướng mặt về phía nam,3
"北(bắc) - kita, hoku","きた, ホク",北,bắc,bắc,Hai người đang quay mặt nhau bởi vì trời lạnh ở phía bắc,3
"田(điền) - ta, den","た, デン",田,"đồng,ruộng",điền,Đây là thể hiện của một cánh đồng,4
"力(lực) - chikara, ryoku, riki","ちから, リョク, リキ",力,sức mạnh,lực,Một người đàn ông cơ bắt thì có sức mạnh.,4
"男(nam) - otoko, dan, nan","おとこ, ダン, ナン",男,đàn ông,nam,Một người đàn ông làm việc mạnh mẽ(力) trên cánh đồng(田).,4
"女(nữ) - onna, me, jo, nyo, nyoo","おんな, め, ジョ, ニョ, ニョオ",女,đàn bà,nữ,Đây là thể hiện của người đàn bà,4
"子(tử) - koro_su, shi, su","ころ_す, シ, ス",子,trẻ con,tử,Đây là thể hiện của một đứa trẻ con,4
"学(học) - mana_bu, gaku","まな_ぶ, ガク",学,học,học,Trẻ con(子) học trong trường.,4
"生(sinh) - i_kiru, u_mareru, na_eru, nama, ki, ha_eru, sei, shoo","い_きる, う_まれる, な_える, なま, き, は_える, セイ, ショオ",生,sinh,sinh,Một cái cây sinh ra từ đất(土).,4
"先(tiên) - saki, sen","さき, セン",先,"trước,đầu",tiên,Một người đang chạy trước những người khác.,4
"何(hà) - nan, nani, ka","なん, なに, カ",何,cái gì,hà,"Một người đang mang cái gì đó.""Đó là cái gì?""",4
"父(phụ) - chichi, tou, fu","ちち, とう, フ",父,cha,phụ, Cha tôi có một bộ ria mép.,4
"母(mẫu) - haha, kao, bo","はは, かお, ボ",母,mẹ,mẫu,Đây là thể hiện của một người mẹ,4
"年(niên) - toshi, nen","とし, ネン",年,năm,niên,Mất một năm để gặt lúa.,4
"去(khứ) - sa_ru, kyo, ko","さ_る, キョ, コ",去,"quá khứ,trước",khứ,"Tôi sống trong quá khứ b&gt;, bây giờ tôi đang bị chôn vùi trong lòng đất (土).",4
"毎(mỗi) - , mai",", マイ",毎,mỗi,mỗi,Mỗi người(人) có một người mẹ(母).,4
"王(vương) - , oo",", オオ",王,vua,vương,Vị vua đang đứng,4
"国(quốc) - kuni, koku","くに, コク",国,đất nước,quốc,Vị vua(王) với một viên ngọc sẽ cai quản đất nước,4
"見(kiến) - mi_ru, ken","み_る, ケン",見,nhìn,kiến,"Để nhìn nhiều thứ,bạn cần một đôi mắt(目) với hai cái chân",5
"行(hành, hàng) - iiku, yu_ku, okona_u, koo, gyoo, an","い-く, ゆ_く, おこな_う, コオ, ギョオ, アン",行,đi,"hành, hàng","Ở góc độ này,bạn phải quyết định đi đâu",5
"米(mễ) - kome, bei, mai","こめ, ベイ, マイ",米,"lúa,gạo",mễ,Đây là thể hiện của một cây lúa,5
"来(lai) - ku_ru, ki_taru, rai","く_る, き_たる, ライ",来,đến,lai,"Khi tháng mười đến,lúa(米) sẽ được thu hoạch.",5
"良(lương) - yoi, ryoo","よい, リョオ",良,tốt,lương,Mọi người cảm thấy  tốt với một cái dạ dày no,5
"食(thực) - ta_beru, ku_u, shoku, jiki","た_べる, く_う, ショク, ジキ",食,ăn,thực,Cái làm tôi thấy tốt(良) ở nhà là ăn,5
"飲(ẩm) - no_mu, in","の_む, イン",飲,uống,ẩm,Bạn ăn(食) và uống với cái mồm rộng của bạn,5
"会(hội) - a_u, kai, e","あ_う, カイ, エ",会,gặp,hội,Hai(二)chúng ta sẽ gặp nhau trong một ngôi nhà.,5
"耳(nhĩ) - mimi, ji","みみ, ジ",耳,tai,nhĩ,Đây là thể hiện của một cái tai,5
"聞(văn) - ki_ku, bun, mon","き_く, ブン, モン",聞,nghe,văn,Một  người đang nghe ở cái cổng(門) với tai của họ(耳).,5
"言(ngôn) - i_u, koto, gen, gon","い_う, こと, ゲン, ゴン",言,nói,ngôn,Bạn nói một vài thứ với cái miệng (口) của bạn,5
"話(thoại) - hana_su, ha","はな_す, ハ",話,nói,thoại,Mọi người nói sử dụng một nghìn(千) từ.,5
"立(lập) - ta_tsu, ritsu, ryuu","た_つ, リツ, リュウ",立,đứng,lập,Đây là thể hiện của một người đang đứng,5
"待(đãi) - ma_tsu, tai","ま_つ, タイ",待,đợi,đãi,Tôi sẽ đợi bạn trên con đường ở phía trước ngôi đền(寺),5
"周(chu) - mawa_ri, shuu","まわ_り, シュウ",周,"chạy xung quanh,tuần hoàn",chu,Những gì bạn ăn sẽ trở về với đất (土). Tất cả mọi thứ theo vòng  tuần hoàn b&gt;,5
"週(chu) - , shuu",", シュウ",週,tuần,chu,Mất một tuần để đi hết(周) con đường này.,5
"大(đại) - oo_kii, dai, tai","おお_きい, ダイ, タイ",大,to,đại,"Khi bạn căng chân tay của bạn, bạn nhìn  lớn  b&gt;",6
"小(tiểu) - ko, o, chii_sai, shoo","こ, お, ちい_さい, ショオ",小,nhỏ,tiểu,"Khi bạn uốn cong chân tay của bạn, bạn nhìn  nhỏ  b&gt;",6
"高(cao) - taka, taka_maru, koo","たか, たか_まる, コオ",高,cao,cao,Có một tòa tháp cao trên một ngôi nhà.,6
"安(an) - yasu_i, yasu_raka(na), an","やす_い, やす_らか(な), アン",安,rẻ,an,Người phụ nữ(女) trở nên rẻ mạt  trong ngôi nhà,6
"新(tân) - atara_shii, shin","あたら_しい, シン",新,mới,tân,"Để bắt đầu một cái gì đó  mới  b&gt;, bạn đứng lên (立), và chặt gỗ (木) với một cái rìu.",6
"古(cổ) - furu_i, ko","ふる_い, コ",古,cũ,cổ,"Khi bạn nghe một câu chuyện mười(十) lần,nó trở nên cũ",6
"元(nguyên) - moto, gen, gan","もと, ゲン, ガン",元,khỏe mạnh,nguyên,"Nếu hai(二) người chạy cạnh nhau,họ sẽ trở nên khỏe hơn",6
"気(khí) - , ki, ke",", キ, ケ",気,"hơi thở,khí",khí,"Nếu bạn thở nhiều, hơi thở  của bạn  có thể đi ra.",6
"多(đa) - oo_i, ta","おお_い, タ",多,nhiều,đa,"Có rất nhiều  ""タ。"".",6
"少(thiếu, thiểu) - suku_nai, suko_shi, shoo","すく_ない, すこ_し, ショオ",少,một ít,"thiếu, thiểu","Khi bạn cắt một thứ nhỏ(小) ,bạn chỉ thu được một ít",6
"広(quảng) - hiro_i, koo","ひろ_い, コオ",広,rộng,quảng,"""Đây là ngôi nhà của tôi.Rộng,phải không nào?""",6
"早(tảo) - haya_i, soo, sah!","はや_い, ソオ, サッ",早,sớm,tảo,Thật là sớm khi dậy vào lúc mười(十) giờ ngày chủ nhật(日）.,6
"長(trường, trưởng) - naga_i, choo","なが_い, チョオ",長,dài,"trường, trưởng",Đây là thể hiện của một người với mái tóc dài.,6
"明(minh) - a_kari, mei, myoo","あ_かり, メイ, ミョオ",明,sáng,minh,Khi mặt trời(日) và mặt trăng(月) kết hợp.Nó trở nên sáng,6
"好(hảo, hiếu) - kono_mu, su_ku, koo","この_む, す_く, コオ",好,thích,"hảo, hiếu",Người phụ nữ(女) thích trẻ con(子).,6
"友(hữu) - tomo, yuu","とも, ユウ",友,bạn bè,hữu, Bạn bè  cho nhau một bàn tay giúp đỡ.,6
"入(nhập) - i_ru, hai_ru, nyuu","い_る, はい_る, ニュウ",入,"nhập,vào",nhập,Một người đang chui vào cái lều.,7
"出(xuất) - de_ru, da_su, shutsu, sui","で_る, だ_す, シュツ, スイ",出,"xuất,ra",xuất,Ra b&gt; là theo lối này.,7
"市(thị) - ichi, shi","いち, シ",市,"thành phố,chợ",thị,Mọi người đi đến chợ để mua sắm.,7
"町(đinh) - machi, choo","まち, チョオ",町,"thị trấn,phố",đinh,Sử dụng được ruộng lúa (田) và các tuyến đường trong thị trấn,7
"村(thôn) - mura, son","むら, ソン",村,làng,thôn,Có một ngôi làng bên ngoài cái cây,7
"雨(vũ) - ame, ama, u","あめ, あま, ウ",雨,mưa,vũ,Chữ kanji này được tạo ra từ mây và những giọt mưa,7
"電(điện) - , den",", デン",電,điện,điện,Trời thì đang mưa(雨) và sét đánh lên trên cánh đồng(田).,7
"車(xa) - kuruma, sha","くるま, シャ",車,xe,xa,Đây là thể hiện của một cái xe,7
"馬(mã) - uma, ma, ba","うま, ま, バ",馬,ngựa,mã,Đây là thể hiện của một con ngựa,7
"駅(dịch) - , eki",", エキ",駅,nhà ga,dịch,Có con ngựa(馬) và người đang vác đồ ở nhà ga,7
"社(xã) - yashiro, sha","やしろ, シャ",社,"công ty,đền",xã,Người cung cấp các thứ và cầu nguyện cho vụ mùa bội thu tại một cái  đền  b&gt;,7
"校(hiệu) - , koo",", コオ",校,trường,hiệu,Cha(父) tôi đến trường để đón tôi.,7
"店(điếm) - mise, ten","みせ, テン",店,cửa hàng,điếm,"Ở quầy hàng,cà chua(トマト) đang được bày trên một cái hộp",7
"銀(ngân) - , gin",", ギン",銀,bạc,ngân,Bạc thì không tốt như vàng(金).,7
"病(bệnh) - yama_i, ya_mu, byoo, hei","やま_い, や_む, ビョオ, ヘイ",病,ốm,bệnh,Một người ốm đang ngủ trong bệnh viện.,7
"院(viện) - , in",", イン",院,"tổ chức,cơ sở",viện,Họ đã khỏe (良) và rời bệnh viện ( tổ chức  b&gt;) để về nhà.,7
"休(hưu) - yasu_mu, kyuu","やす_む, キュウ",休,nghỉ ,hưu,Một người đang nghỉ dưới cái cây(木).,8
"走(tẩu) - hashi_ru, soo","はし_る, ソオ",走,chạy,tẩu,Tôi  chạy  ngay cả khi tôi đang bị phủ đất (土).,8
"起(khởi) - o_kiru, oko_ru, ki","お_きる, おこ_る, キ",起,thức dậy,khởi,Tôi sẽ chạy(走) bởi vì tôi thức dậy muộn.,8
"貝(bối) - kai, bai","かい, バイ",貝,động vật có vỏ,bối,Đây là hình dạng của  động vật có vỏ ,8
"買(mãi) - ka_u, bai","か_う, バイ",買,mua,mãi,"Chúng tôi sử dụng để sử dụng vỏ (贝) để  mua  b&gt; các thứ, bây giờ chúng tôi sử dụng hóa đơn.",8
"売(mại) - u_ru, bai","う_る, バイ",売,bán,mại,Một người đang bán một vài thứ.,8
"読(độc) - yo_mu, doku, toku, too","よ_む, ドク, トク, トオ",読,đọc,độc,"Anh ấy nói(言),""Đọc quyển sách bán(売) chạy nhất đi.""",8
"書(thư) - ka_ku, sho","か_く, ショ",書,viết,thư,"Với một thanh cọ,tôi viết chữ kanji ""日""",8
"帰(quy) - kae_ru, ki","かえ_る, キ",帰,trở lại,quy,Chim nhạn trở lại với tổ của chúng,8
"勉(miễn) - , ben",", ベン",勉,làm lợi,miễn,Người đàn ông đang làm lợi với sức mạnh của ông ấy(強).,8
"弓(cung) - yumi, kyuu","ゆみ, キュウ",弓,cung,cung,Đây là thể hiện của một cái cung,8
"虫(trùng) - mushi, chuu","むし, チュウ",虫,con bọ,trùng,Đây là thể hiện của một con bọ,8
"強(cường, cưỡng) - tsuyo_i, shi_iru, kyoo, goo","つよ_い, し_いる, キョオ, ゴオ",強,"khỏe,mạnh mẽ","cường, cưỡng",Cả hai loài bọ cánh cứng (虫) và mũi tên (弓) đều mạnh mẽ  b&gt;,8
"持(trì) - motsu, ji","もつ, ジ",持,"tổ chức,tiến hành",trì,Tôi đến chùa (寺)  tổ chức  cầu nguyện.,8
"名(danh) - na, mei, myoo","な, メイ, ミョオ",名,tên,danh,Tên anh ấy là Taro(タロ).,8
"語(ngữ) - kata_ru, go","かた_る, ゴ",語,"từ,ngôn ngữ",ngữ,Họ nói(言) năm(五) ngôn ngữ.,8
"春(xuân) - haru, shun","はる, シュン",春,xuân,xuân,Mùa xuân đã đến.Ba(三) người(人) nhìn về mặt trời(日).,9
"夏(hạ) - natsu, ka, ge","なつ, カ, ゲ",夏,hạ,hạ,Trời rất nóng trong mùa hè b&gt;. Một người sụp đổ trong cái bóng,9
"秋(thu) - aki, shuu","あき, シュウ",秋,thu,thu,"Vào mùa thu  b&gt;, cây lúa và lá chuyển thành màu sắc của lửa (火)",9
"冬(đông) - fuyu, too","ふゆ, トオ",冬,đông,đông,"Trong  mùa đông  b&gt;, nó thì trơn khi bạn đi bộ trên băng.",9
"朝(triều) - asa, choo","あさ, チョオ",朝,sáng,triều,Đó là buổi sáng của ngày 10 tháng 10(十月十日).,9
"昼(trú) - hiru, chuu","ひる, チュウ",昼,ban ngày,trú,Chúng tôi trú mình trong bóng râm ban ngày khi mặt trời (日)lên cao,9
"夕(tịch) - yu_u, seki","ゆ_う, セキ",夕,hoàng hôn,tịch,"Vào hoàng hôn  b&gt;, bạn nhìn thấy mặt trăng và các loài chim.",9
"方(phương) - kata, hoo","かた, ホオ",方,"hướng,người",phương,Hãy đi theo hướng của lá cờ,9
"晩(vãn) - , ban",", バン",晩,tối,vãn,Đứa trẻ vội vàng trở về nhà trước buổi tối,9
"夜(dạ) - yoru, yo, ya","よる, よ, ヤ",夜,đêm,dạ,"Vào đêm,một người với cái mũ dài đang ngắm mặt trăng và những đám mây",9
"心(tâm) - kokoro, shin","こころ, シン",心,trái tim,tâm,Trái tim của tôi đang đập.,9
"手(thủ) - te, ta, shu","て, た, シュ",手,tay,thủ,Đây là thể hiện của bàn tay,9
"足(túc) - ashi, ta_ru, soku","あし, た_る, ソク",足,chân,túc,Căng  chân  b&gt; của bạn lên và chạy.,9
"体(thể) - karada, tai, tei","からだ, タイ, テイ",体,cơ thể,thể,"Khi cơ thể của bạn bị thương,hãy băng bó và nghỉ ngơi(休).",9
"首(thủ) - kubi, shu","くび, シュ",首,"cổ,đầu",thủ,Đây là thể hiện của một người với cái cổ dài,9
"道(đạo) - michi, doo, too","みち, ドオ, トオ",道,đường,đạo,Một người đang vươn cái cổ(首) như kiểu đang đợi một ai đó trên đường,9
"山(sơn) - yama, san","やま, サン",山,núi,sơn,Đây là thể hiện của một ngọn núi,10
"川(xuyên) - kawa, sen","かわ, セン",川,sông,xuyên,Dòng sông chạy qua nó,10
"林(lâm) - hayashi, rin","はやし, リン",林,rừng nhỏ,lâm,Hai cái cây (木) trở thành một rừng nhỏ,10
"森(sâm) - mori, shin","もり, シン",森,rừng,sâm,Ba cái cây(木) trở thành một cánh rừng,10
"空(không) - sora, kara, a_ku, kuu","そら, から, あ_く, クウ",空,bầu trời,không,Mở cửa sổ và đo  bầu trời  b&gt; với thước đo của người thợ thủ công,10
"海(hải) - umi, kai","うみ, カイ",海,biển,hải,Chúng tôi đến biển và bơi mỗi(舞)ngày.,10
"化(hóa) - ba_keru, ba_karu, ka, ke","ば_ける, ば_かる, カ, ケ",化,thay đổi,hóa,Một người đứng lên và ngồi xuống.Anh ấy thay đổi vị trí của mình,10
"花(hoa) - hana, ka","はな, カ",花,hoa,hoa,Cỏ thay đổi (化) trong những bông hoa,10
"天(thiên) - ame. ama, ten","あめ. あま, テン",天,"thiên đường,trời",thiên,Tôi nghĩ về thiên đường với những cánh tay mở rộng,10
"赤(xích) - aka, seki, shaku","あか, セキ, シャク",赤,đỏ,xích,Bạn đưa đất (土) trên ngọn lửa để làm những viên gạch đỏ ,10
"青(thanh) - ao_i, sei, shoo","あお_い, セイ, ショオ",青,xanh,thanh,Cỏ xanh và mặt trăng xanh(月).,10
"白(bạch) - shiro_i, kaku, byaku","しろ_い, カク, ビャク",白,trắng,bạch,Có một tòa nhà màu  trắng,10
"黒(hắc) - kuro_i, koku","くろ_い, コク",黒,đen,hắc,Cánh đồng(田) bị đốt cháy và đất trở nên(土) đen,10
"色(sắc) - iwa, shoku, shiki","いわ, ショク, シキ",色,màu sắc,sắc,Đây là hình dạng của một vòng xoáy của hai  màu sắc  b&gt;,10
"魚(ngư) - sakana,uo, gyo","さかな,うお, ギョ",魚,cá,ngư,Đây là thể hiện của một con cá,10
"犬(khuyển) - inu, ken","いぬ, ケン",犬,chó,khuyển,Đây là thể hiện của một con chó,10
"料(liệu) - , ryoo",", リョオ",料,thành phần,liệu,Bạn đo gạo (米) và các  thành phần   khác trên thang điểm.,11
"理(lí) - , ri",", リ",理,hợp lý,lí,Vị vua (王) nghĩ ra những điều  hợp lý  thực hiện chúng trên  những cánh đồng lúa (田).,11
"反(phản) - so_ru, han, hon, tan","そ_る, ハン, ホン, タン",反,phản đối,phản,Tôi  phản đối  nó,11
"飯(phạn) - meshi, han","めし, ハン",飯,"gạo,lúa",phạn,Họ phản đối (反) thói quen ăn uống (食) để nhiều  gạo  b&gt;,11
"牛(ngưu) - ushi, gyuu","うし, ギュウ",牛,bò,ngưu,Đây là hình dạng của một một sừng  bò  b&gt;,11
"豚(đồn) - buta, ton","ぶた, トン",豚,lợn,đồn,Một con lợn đang nhìn về mặt trăng(月).,11
"鳥(điểu) - tori, choo","とり, チョオ",鳥,chim,điểu,Đây là thể hiện của một con chim,11
"肉(nhục) - , niku",", ニク",肉,thịt,nhục,Đây là thể hiện của một miếng thịt,11
"茶(trà) - , cha, sa",", チャ, サ",茶,trà,trà,Hai người đang uống trà,11
"予(dự) - , yo",", ヨ",予,nâng cao,dự,Một người mẹ (マザー) sắp xếp (アレンジ) một đứa trẻ trên  cao ,11
"野(dã) - no, ya","の, ヤ",野,"lĩnh vực,khu vực",dã,Họ đi đến  lĩnh vực  đó trong sự tiến bộ (予).,11
"菜(thái) - na, sai","な, サイ",菜,rau,thái,Bạn lấy rau từ cỏ và cây(予).,11
"切(thiết) - ki_ru, setsu, sai","き_る, セツ, サイ",切,cắt,thiết,Bảy七) samurai đã cắt với thanh kiếm (刀)  của họ,11
"作(tác) - tsuku_ru, saku, sa","つく_る, サク, サ",作,làm,tác,Một người với cái cưa đang làm gì đó.,11
"未(vị) - , mi",", ミ",未, chưa,vị,Cái cây(木) này không phát triển nữa,11
"味(vị) - aji, mi","あじ, ミ",味,mùi vị,vị,"Tôi không biết mùi vị của nó như thế nào ,bởi vì tôi chưa(未) ăn nó",11
"音(âm) - oto, ne, on, in","おと, ね, オン, イン",音,âm thanh,âm,"Khi mặt trời(日) mọc,người đang đứng(立) và tạo ra âm thanh",12
"楽(lạc, nhạc) - tanoshi_mu, gaku, raku","たのし_む, ガク, ラク",楽,"vui,thoải mái","lạc, nhạc",Chúng ta hãy  vui vẻ  đánh những cái trống (白) trắng trên mảnh  gỗ(木) đứng ,12
"歌(ca) - uta_u, ka","うた_う, カ",歌,hát,ca,Người (人) đang  hát b&gt; với cái miệng (口) mở rộng.,12
"自(tự) - mizuka_ra, ji, shi","みずか_ら, ジ, シ",自,"tự,chính bản thân",tự,"Tại Nhật Bản, cử chỉ chỉ vào mũi của một người có nghĩa là ""chính tôi """,12
"転(chuyển) - koro_garu, ten","ころ_がる, テン",転,"lăn,quay",chuyển,Tôi bị rơi từ trên xe  (车) đang  lăn  b&gt;,12
"乗(thừa) - no_ru, joo","の_る, ジョオ",乗,leo lên,thừa,Một người đứng 立 trên cây (木) để leo lên nhánh,12
"写(tả) - utsu_su, sha","うつ_す, シャ",写,ảnh,tả,Đây là bức ảnh của người đàn ông vói cái mũ,12
"真(chân) - ma, shin","ま, シン",真,"đúng,chân thật",chân,Chiếc ti vi này trình diễn hình ảnh chân thật,12
"台(đài) - , dai, tai",", ダイ, タイ",台,đứng,đài,Tôi thì đang đứng,12
"央(ương) - , oo",", オオ",央,trung tâm,ương,Người (人) là  trung tâm  b&gt; của sơ đồ,12
"映(ánh) - utsu_su, hae_ru, ei","うつ_す, はえ_る, エイ",映,chiếu ,ánh,Trung tâm (央) sơ đồ của bộ phim thì được  chiếu b&gt; trên màn hình.,12
"画(họa, hoạch) - , ga, kaku",", ガ, カク",画,tranh,"họa, hoạch",Vẽ một  bức tranh  của một ruộng lúa (田) trên vải.,12
"羊(dương) - hitsuji, yoo","ひつじ, ヨオ",羊,cừu,dương,Đây là thể hiện của một con cừu,12
"洋(dương) - , yoo",", ヨオ",洋,nước ngoài,dương,Cừu (羊) đã đến Nhật Bản từ nước ngoài ,12
"服(phục) - , fuku",", フク",服,quần áo,phục,"Dưới ánh trăng (月), bạn treo  quần áo  của bạn",12
"着(trước) - ki_ru, tsu_ku, chaku, jaku","き_る, つ_く, チャク, ジャク",着,mặc,trước,Tôi nhìn thấy một con cừu (羊)  mặc  một chiếc áo len.,12
"家(gia) - ie, ya, ka, ke","いえ, や, カ, ケ",家,nhà,gia,"Trước đây,mọi người giữ những con lợn ở trong nhà",13
"矢(thỉ) - ya, shi","や, シ",矢,mũi tên,thỉ,Đây là hình dạng của một  mũi tên ,13
"族(tộc) - , zoku",", ゾク",族,gia đình,tộc,"Dưới lá cờ, người bảo vệ  gia đình của họ với mũi tên  (矢) của họ",13
"親(thân) - oya, shita_shii, shin","おや, した_しい, シン",親,bố mẹ,thân,Cha mẹ đang đứng(立) trên đỉnh của cái cây(木) để nhìn(見) con của họ.,13
"兄(huynh) - ani, nii, kei, kyoo","あに, にい, ケイ, キョオ",兄,anh trai,huynh,Anh trai tôi dangđi với cái miệng (口) rộng,13
"姉(tỉ) - ane, nee, shi","あね, ねえ, シ",姉,chị gái,tỉ,Chị gái  tôi  là người phụ nữ(女) sống ở một thành phố(市).,13
"弟(đệ) - otouto, tei, dai, de","おとうと, テイ, ダイ, デ",弟,em trai,đệ,Em trai  tôi đang chơi với cái cung(弓).,13
"妹(muội) - imouto, mai","いもうと, マイ",妹,em gái,muội,"Người con gái(女) và cái cây chưa(未) phát triển.Nó nghĩa là  em gái"" của tôi",13
"私(tư) - watashi_ku, shi","わたし_く, シ",私,tôi,tư,Đây là cây lúa được  tôi  chăm sóc,13
"夫(phu) - otto, fu, fuu","おっと, フ, フウ",夫,chồng,phu,Chồng tôi và tôi thì luôn là hai (二) người (人) bên nhau.,13
"妻(thê) - tsuma, sai","つま, サイ",妻,vợ,thê,Người phụ nữ (女) đang nắm giữ một cây chổi là  vợ của tôi ,13
